id,Name,path,url
1962,Designers/All Designers/Clover Canyon/,1/2/1517/1898/1962,/designers/all-designers/clover-canyon.html
2589,Designers/All Designers/Clover Canyon/Clothing/,1/2/1517/1898/1962/2589,/designers/all-designers/clover-canyon/clothing.html
1965,Designers/All Designers/Comme Des Garcons/,1/2/1517/1898/1965,/designers/all-designers/comme-des-garcons.html
2661,Designers/All Designers/Comme Des Garcons/Handbags/,1/2/1517/1898/1965/2661,/designers/all-designers/comme-des-garcons/handbags.html
1967,Designers/All Designers/Cooper & Ella/,1/2/1517/1898/1967,/designers/all-designers/cooper-and-ella.html
1968,Designers/All Designers/Coralia Leets Design/,1/2/1517/1898/1968,/designers/all-designers/coralia-leets-design.html
1969,Designers/All Designers/Cotton Citizen/,1/2/1517/1898/1969,/designers/all-designers/cotton-citizen.html
1971,Designers/All Designers/Crezus/,1/2/1517/1898/1971,/designers/all-designers/crezus.html
1972,Designers/All Designers/Current/Elliott/,1/2/1517/1898/1972,/designers/all-designers/current/elliott.html
2581,Designers/All Designers/Current/Elliott/Clothing/,1/2/1517/1898/1972/2581,/designers/all-designers/current/elliott/clothing.html
1974,Designers/All Designers/Dagmar/,1/2/1517/1898/1974,/designers/all-designers/dagmar.html
1975,Designers/All Designers/Dana Rebecca Designs/,1/2/1517/1898/1975,/designers/all-designers/dana-rebecca-designs.html
1976,Designers/All Designers/Dannijo/,1/2/1517/1898/1976,/designers/all-designers/dannijo.html
1978,Designers/All Designers/Dayna Decker/,1/2/1517/1898/1978,/designers/all-designers/dayna-decker.html
1980,Designers/All Designers/Deepa Gurnani/,1/2/1517/1898/1980,/designers/all-designers/deepa-gurnani.html
2653,Designers/All Designers/Deepa Gurnani/Handbags/,1/2/1517/1898/1980/2653,/designers/all-designers/deepa-gurnani/handbags.html
1981,Designers/All Designers/Demitasse/,1/2/1517/1898/1981,/designers/all-designers/demitasse.html
1982,Designers/All Designers/Demy Lee/,1/2/1517/1898/1982,/designers/all-designers/demy-lee.html
1973,Designers/All Designers/Dkny For Opening Ceremony/,1/2/1517/1898/1973,/designers/all-designers/dkny-for-opening-ceremony.html
1985,Designers/All Designers/Edith A. Miller/,1/2/1517/1898/1985,/designers/all-designers/edith-a-miller.html
1987,Designers/All Designers/Elizabeth And James/,1/2/1517/1898/1987,/designers/all-designers/elizabeth-and-james.html
1986,Designers/All Designers/Elizabeth Cole/,1/2/1517/1898/1986,/designers/all-designers/elizabeth-cole.html
1989,Designers/All Designers/En Shalla/,1/2/1517/1898/1989,/designers/all-designers/en-shalla.html
1990,Designers/All Designers/Enza Costa/,1/2/1517/1898/1990,/designers/all-designers/enza-costa.html
2603,Designers/All Designers/Enza Costa/Clothing/,1/2/1517/1898/1990/2603,/designers/all-designers/enza-costa/clothing.html
1992,Designers/All Designers/Equipment /,1/2/1517/1898/1992,/designers/all-designers/equipment-.html
2242,Designers/All Designers/Étoile Isabel Marant /,1/2/1517/1898/2242,/designers/all-designers/etoile-isabel-marant-.html
2608,Designers/All Designers/Étoile Isabel Marant /Clothing/,1/2/1517/1898/2242/2608,/designers/all-designers/etoile-isabel-marant-/clothing.html
2641,Designers/All Designers/Étoile Isabel Marant /Shoes/,1/2/1517/1898/2242/2641,/designers/all-designers/etoile-isabel-marant-/shoes.html
1994,Designers/All Designers/Etten Eller/,1/2/1517/1898/1994,/designers/all-designers/etten-eller.html
1995,Designers/All Designers/Exquisite J/,1/2/1517/1898/1995,/designers/all-designers/exquisite-j.html
1997,Designers/All Designers/Falconiere/,1/2/1517/1898/1997,/designers/all-designers/falconiere.html
1998,Designers/All Designers/Faliero Sarti/,1/2/1517/1898/1998,/designers/all-designers/faliero-sarti.html
1999,Designers/All Designers/Fallon/,1/2/1517/1898/1999,/designers/all-designers/fallon.html
2001,Designers/All Designers/Figue/,1/2/1517/1898/2001,/designers/all-designers/figue.html
2002,Designers/All Designers/Fine Collection/,1/2/1517/1898/2002,/designers/all-designers/fine-collection.html
2004,Designers/All Designers/Franco Ferrari/,1/2/1517/1898/2004,/designers/all-designers/franco-ferrari.html
1996,Designers/All Designers/Fst/,1/2/1517/1898/1996,/designers/all-designers/fst.html
2620,Designers/All Designers/Fst/Accessories/,1/2/1517/1898/1996/2620,/designers/all-designers/fst/accessories.html
2006,Designers/All Designers/Fulvio Luparia/,1/2/1517/1898/2006,/designers/all-designers/fulvio-luparia.html
2007,Designers/All Designers/G1/,1/2/1517/1898/2007,/designers/all-designers/g1.html
2591,Designers/All Designers/G1/Clothing/,1/2/1517/1898/2007/2591,/designers/all-designers/g1/clothing.html
2008,Designers/All Designers/Garnish/,1/2/1517/1898/2008,/designers/all-designers/garnish.html
2011,Designers/All Designers/Giada Forte/,1/2/1517/1898/2011,/designers/all-designers/giada-forte.html
2579,Designers/All Designers/Giada Forte/Clothing/,1/2/1517/1898/2011/2579,/designers/all-designers/giada-forte/clothing.html
2012,Designers/All Designers/Giles & Brother/,1/2/1517/1898/2012,/designers/all-designers/giles-and-brother.html
2014,Designers/All Designers/Girl. By Band Of Outsiders/,1/2/1517/1898/2014,/designers/all-designers/girl-by-band-of-outsiders.html
2015,Designers/All Designers/Golden Goose/,1/2/1517/1898/2015,/designers/all-designers/golden-goose.html
2633,Designers/All Designers/Golden Goose/Shoes/,1/2/1517/1898/2015/2633,/designers/all-designers/golden-goose/shoes.html
2016,Designers/All Designers/Golden Lane/,1/2/1517/1898/2016,/designers/all-designers/golden-lane.html
2655,Designers/All Designers/Golden Lane/Handbags/,1/2/1517/1898/2016/2655,/designers/all-designers/golden-lane/handbags.html
2017,Designers/All Designers/Gorjana/,1/2/1517/1898/2017,/designers/all-designers/gorjana.html
2018,Designers/All Designers/Great By Sandie/,1/2/1517/1898/2018,/designers/all-designers/great-by-sandie.html
2660,Designers/All Designers/Great By Sandie/Handbags/,1/2/1517/1898/2018/2660,/designers/all-designers/great-by-sandie/handbags.html
2021,Designers/All Designers/Helmut Lang/,1/2/1517/1898/2021,/designers/all-designers/helmut-lang.html
2614,Designers/All Designers/Helmut Lang/Clothing/,1/2/1517/1898/2021/2614,/designers/all-designers/helmut-lang/clothing.html
2020,Designers/All Designers/Helmut/,1/2/1517/1898/2020,/designers/all-designers/helmut.html
2605,Designers/All Designers/Helmut/Clothing/,1/2/1517/1898/2020/2605,/designers/all-designers/helmut/clothing.html
2022,Designers/All Designers/Hirotaka/,1/2/1517/1898/2022,/designers/all-designers/hirotaka.html
2027,Designers/All Designers/Iacoli & Mcallister/,1/2/1517/1898/2027,/designers/all-designers/iacoli-and-mcallister.html
2028,Designers/All Designers/Illesteva/,1/2/1517/1898/2028,/designers/all-designers/illesteva.html
2029,Designers/All Designers/Inhabit/,1/2/1517/1898/2029,/designers/all-designers/inhabit.html
2026,Designers/All Designers/Iro/,1/2/1517/1898/2026,/designers/all-designers/iro.html
2585,Designers/All Designers/Iro/Clothing/,1/2/1517/1898/2026/2585,/designers/all-designers/iro/clothing.html
2031,Designers/All Designers/Isabel Marant/,1/2/1517/1898/2031,/designers/all-designers/isabel-marant.html
2638,Designers/All Designers/Isabel Marant/Shoes/,1/2/1517/1898/2031/2638,/designers/all-designers/isabel-marant/shoes.html
2032,Designers/All Designers/Iwona Ludyga/,1/2/1517/1898/2032,/designers/all-designers/iwona-ludyga.html
